iter	Passed	Remaining
318	10719	22883
319	10751	22847
320	10786	22815
321	10820	22782
322	10856	22755
323	10897	22736
324	10931	22703
325	10965	22670
326	11005	22650
327	11042	22623
328	11075	22587
329	11107	22551
330	11139	22514
331	11175	22484
332	11208	22449
333	11240	22414
334	11274	22379
335	11307	22344
336	11340	22311
337	11373	22276
338	11406	22241
339	11439	22206
340	11476	22179
341	11512	22148
342	11546	22117
343	11583	22089
344	11617	22057
345	11652	22025
346	11685	21989
347	11717	21953
348	11749	21916
349	11780	21877
350	11816	21848
351	11850	21815
352	11882	21778
353	11916	21745
354	11948	21709
355	11983	21678
356	12017	21645
357	12050	21610
358	12083	21574
359	12114	21537
360	12153	21513
361	12188	21481
362	12221	21445
363	12254	21411
364	12293	21387
365	12327	21353
366	12360	21319
367	12400	21295
368	12440	21273
369	12479	21248
370	12513	21214
371	12548	21184
372	12583	21153
373	12619	21122
374	12654	21090
375	12686	21054
376	12719	21018
377	12751	20982
378	12784	20948
379	12817	20913
380	12850	20878
381	12882	20842
382	12917	20810
383	12950	20774
384	12983	20739
385	13015	20703
386	13047	20667
387	13080	20631
388	13112	20596
389	13146	20561
390	13181	20531
391	13214	20496
392	13246	20459
393	13279	20424
394	13317	20396
395	13350	20363
396	13382	20327
397	13421	20301
398	13455	20268
399	13491	20237
400	13526	20205
401	13559	20170
402	13598	20144
403	13632	20111
404	13666	20078
405	13699	20042
406	13732	20008
407	13764	19972
408	13797	19937
409	13830	19902
410	13862	19865
411	13896	19833
412	13928	19796
413	13960	19760
414	13996	19730
415	14029	19695
416	14061	19659
417	14094	19624
418	14126	19588
419	14159	19553
420	14193	19519
421	14231	19492
422	14270	19465
423	14308	19437
424	14347	19410
425	14396	19397
426	14428	19362
427	14463	19329
428	14500	19300
429	14536	19269
430	14572	19238
431	14606	19204
432	14639	19169
433	14672	19134
434	14705	19100
435	14738	19065
436	14770	19029
437	14806	18998
438	14840	18964
439	14873	18930
440	14906	18895
441	14943	18864
442	14986	18842
443	15042	18836
444	15085	18814
445	15129	18793
446	15174	18772
447	15223	18757
448	15255	18721
449	15288	18685
450	15321	18650
451	15359	18621
452	15394	18588
453	15429	18555
454	15465	18525
455	15502	18493
456	15536	18460
457	15572	18428
458	15609	18398
459	15641	18361
460	15674	18326
461	15707	18291
462	15740	18256
463	15773	18220
464	15806	18185
465	15838	18150
466	15871	18114
467	15903	18077
468	15935	18042
469	15967	18006
470	16002	17972
471	16039	17942
472	16071	17906
473	16104	17871
474	16138	17837
475	16171	17802
476	16204	17767
477	16237	17732
478	16268	17695
479	16301	17660
480	16333	17623
481	16367	17589
482	16401	17556
483	16437	17523
484	16470	17489
485	16506	17457
486	16549	17433
487	16587	17402
488	16628	17376
489	16669	17349
490	16706	17318
491	16742	17287
492	16781	17258
493	16822	17231
494	16856	17196
495	16888	17161
496	16923	17127
497	16956	17092
498	16988	17056
499	17021	17021
500	17056	16988
501	17090	16954
502	17123	16919
503	17161	16889
504	17198	16857
505	17243	16834
506	17283	16806
507	17316	16771
508	17350	16736
509	17384	16702
510	17421	16671
511	17459	16640
512	17495	16609
513	17533	16578
514	17569	16546
515	17603	16512
516	17654	16493
517	17701	16471
518	17753	16453
519	17791	16422
520	17829	16391
521	17861	16356
522	17895	16321
523	17929	16286
524	17963	16252
525	17998	16218
526	18033	16185
527	18080	16162
528	18124	16137
529	18164	16108
530	18199	16074
531	18241	16047
532	18275	16012
533	18307	15976
534	18341	15941
535	18374	15906
536	18409	15872
537	18460	15852
538	18497	15820
539	18533	15787
540	18572	15757
541	18608	15724
542	18641	15689
543	18679	15657
544	18713	15622
545	18747	15588
546	18780	15553
547	18813	15517
548	18849	15484
549	18882	15449
550	18916	15414
551	18950	15379
552	18983	15344
553	19016	15309
554	19050	15274
555	19083	15239
556	19115	15202
557	19148	15167
558	19181	15132
559	19215	15098
560	19249	15063
561	19282	15027
562	19315	14992
563	19348	14957
564	19382	14922
565	19418	14889
566	19453	14856
567	19488	14822
568	19523	14788
569	19558	14754
570	19593	14721
571	19629	14687
572	19664	14653
573	19697	14618
574	19730	14583
575	19763	14547
576	19796	14513
577	19829	14477
578	19862	14442
579	19894	14406
580	19927	14370
581	19960	14335
582	19992	14300
583	20030	14268
584	20062	14232
585	20095	14197
586	20127	14161
587	20160	14126
588	20194	14091
589	20227	14056
590	20260	14020
591	20292	13985
592	20325	13950
593	20357	13914
594	20391	13879
595	20433	13851
596	20470	13818
597	20507	13785
598	20541	13751
599	20575	13717
600	20610	13683
601	20644	13648
602	20677	13613
603	20709	13577
604	20741	13542
605	20774	13507
606	20807	13471
607	20841	13437
608	20874	13402
609	20906	13366
610	20939	13331
611	20971	13295
612	21004	13260
613	21036	13224
614	21071	13190
615	21104	13155
616	21136	13120
617	21169	13085
618	21202	13050
619	21237	13016
620	21270	12981
621	21306	12948
622	21339	12913
623	21372	12878
624	21405	12843
625	21442	12810
626	21478	12777
627	21512	12742
628	21547	12709
629	21582	12675
630	21619	12642
631	21654	12608
632	21687	12574
633	21718	12537
634	21750	12502
635	21783	12467
636	21817	12432
637	21849	12397
638	21882	12362
639	21915	12327
640	21948	12292
641	21980	12257
642	22013	12222
643	22047	12187
644	22080	12152
645	22113	12117
646	22146	12083
647	22180	12048
648	22213	12013
649	22246	11978
650	22279	11943
651	22312	11909
652	22345	11874
653	22378	11839
654	22413	11805
655	22453	11774
656	22488	11740
657	22522	11706
658	22560	11673
659	22596	11640
660	22630	11606
661	22665	11572
662	22698	11537
663	22731	11502
664	22763	11467
665	22797	11432
666	22833	11399
667	22867	11365
668	22899	11329
669	22933	11295
670	22965	11260
671	22997	11225
672	23029	11189
673	23062	11154
674	23095	11120
675	23128	11085
676	23162	11050
677	23194	11015
678	23229	10981
679	23262	10947
680	23296	10912
681	23330	10878
682	23364	10844
683	23397	10809
684	23435	10776
685	23471	10743
686	23507	10710
687	23549	10679
688	23592	10649
689	23634	10618
690	23676	10587
691	23717	10556
692	23750	10521
693	23783	10486
694	23819	10453
695	23859	10421
696	23892	10386
697	23925	10351
698	23957	10316
699	23990	10281
700	24040	10254
701	24076	10220
702	24124	10192
703	24181	10167
704	24314	10174
705	24357	10143
706	24398	10111
707	24443	10081
708	24478	10047
709	24515	10013
710	24551	9979
711	24586	9945
712	24620	9910
713	24654	9875
714	24688	9840
715	24722	9806
716	24760	9772
717	24797	9739
718	24832	9705
719	24867	9670
720	24899	9635
721	24934	9600
722	24967	9565
723	25000	9530
724	25033	9495
725	25065	9459
726	25096	9424
727	25129	9388
728	25161	9353
729	25193	9318
730	25228	9283
731	25262	9248
732	25295	9213
733	25329	9179
734	25364	9145
735	25397	9110
736	25434	9076
737	25470	9042
738	25504	9007
739	25540	8973
740	25574	8938
741	25607	8903
742	25641	8869
743	25675	8834
744	25708	8799
745	25740	8764
746	25773	8729
747	25806	8694
748	25839	8659
749	25871	8623
750	25902	8588
751	25936	8553
752	25970	8518
753	26002	8483
754	26038	8449
755	26071	8414
756	26109	8381
757	26149	8348
758	26188	8315
759	26228	8282
760	26266	8249
761	26308	8217
762	26341	8181
763	26373	8146
764	26407	8112
765	26447	8079
766	26482	8044
767	26517	8010
768	26552	7976
769	26587	7941
770	26621	7906
771	26653	7871
772	26686	7836
773	26719	7801
774	26751	7766
775	26787	7732
776	26829	7700
777	26866	7666
778	26899	7631
779	26933	7596
780	26966	7561
781	26998	7526
782	27039	7493
783	27085	7462
784	27122	7428
785	27167	7396
786	27219	7366
787	27261	7334
788	27306	7302
789	27351	7270
790	27398	7239
791	27438	7205
792	27475	7171
793	27509	7137
794	27547	7103
795	27652	7086
796	27745	7067
797	27784	7033
798	27816	6997
799	27848	6962
800	27882	6927
801	27945	6899
802	27977	6863
803	28009	6828
804	28041	6792
805	28077	6758
806	28110	6722
807	28143	6687
808	28187	6655
809	28224	6620
810	28259	6585
811	28292	6550
812	28332	6516
813	28366	6481
814	28414	6449
815	28457	6416
816	28491	6381
817	28528	6347
818	28564	6312
819	28600	6278
820	28634	6243
821	28670	6208
822	28705	6173
823	28738	6138
824	28774	6103
825	28816	6070
826	28857	6036
827	28900	6003
828	28939	5969
829	28984	5936
830	29038	5905
831	29082	5872
832	29120	5838
833	29155	5803
834	29188	5767
835	29222	5732
836	29257	5697
837	29291	5662
838	29326	5627
839	29358	5592
840	29444	5566
841	29522	5539
842	29584	5509
843	29637	5477
844	29683	5444
845	29729	5411
846	29775	5378
847	29827	5346
848	29863	5311
849	29897	5275
850	29935	5241
851	29972	5206
852	30008	5171
853	30043	5136
854	30075	5100
855	30108	5065
856	30141	5029
857	30175	4993
858	30209	4958
859	30246	4923
860	30298	4891
861	30421	4870
862	30513	4843
863	30560	4810
864	30661	4785
865	30706	4751
866	30741	4715
867	30777	4680
868	30816	4645
869	30849	4609
870	30883	4574
871	30917	4538
872	30950	4502
873	30982	4466
874	31016	4430
875	31056	4396
876	31091	4360
877	31123	4324
878	31169	4290
879	31212	4256
880	31269	4223
881	31311	4189
882	31358	4155
883	31405	4121
884	31450	4086
885	31496	4052
886	31543	4018
887	31586	3983
888	31628	3949
889	31676	3915
890	31725	3881
891	31769	3846
892	31876	3819
893	31988	3792
894	32052	3760
895	32086	3724
896	32119	3688
897	32154	3652
898	32186	3616
899	32219	3579
900	32260	3544
901	32298	3509
902	32334	3473
903	32369	3437
904	32403	3401
905	32438	3365
906	32476	3329
907	32512	3294
908	32554	3259
909	32605	3224
910	32748	3199
911	32790	3163
912	32831	3128
913	32870	3092
914	32913	3057
915	32963	3022
916	32999	2986
917	33032	2950
918	33106	2917
919	33153	2882
920	33212	2848
921	33274	2814
922	33368	2783
923	33415	2748
924	33465	2713
925	33514	2678
926	33559	2642
927	33609	2607
928	33649	2571
929	33691	2535
930	33742	2500
931	33785	2465
932	33835	2429
933	33912	2396
934	33964	2361
935	34004	2325
936	34038	2288
937	34072	2252
938	34105	2215
939	34142	2179
940	34175	2142
941	34257	2109
942	34303	2073
943	34348	2037
944	34388	2001
945	34425	1965
946	34480	1929
947	34529	1894
948	34584	1858
949	34647	1823
950	34685	1787
951	34718	1750
952	34751	1713
953	34784	1677
954	34816	1640
955	34848	1603
956	34881	1567
957	34915	1530
958	34949	1494
959	34988	1457
960	35023	1421
961	35055	1384
962	35089	1348
963	35123	1311
964	35156	1275
965	35190	1238
966	35302	1204
967	35344	1168
968	35380	1131
969	35415	1095
970	35450	1058
971	35528	1023
972	35573	987
973	35621	950
974	35660	914
975	35696	877
976	35755	841
977	35797	805
978	35844	768
979	35951	733
980	35984	696
981	36018	660
982	36051	623
983	36082	586
984	36115	549
985	36153	513
986	36192	476
987	36231	440
988	36274	403
989	36314	366
990	36356	330
991	36404	293
992	36439	256
993	36477	220
994	36517	183
995	36554	146
996	36588	110
997	36620	73
998	36653	36
999	36687	0
