iter	MultiClass
136	0.2506213673
137	0.2503453852
138	0.2499037244
139	0.2497049103
140	0.2494166588
141	0.248974002
142	0.2488740068
143	0.248602959
144	0.2485203383
145	0.2480662157
146	0.2478540843
147	0.2472177907
148	0.2467056518
149	0.2461650444
150	0.2454720676
151	0.2451250321
152	0.2449124283
153	0.2445995699
154	0.2442990765
155	0.2439373017
156	0.2436218613
157	0.2434254316
158	0.2431698898
159	0.2430989795
160	0.2428936157
161	0.2424580066
162	0.2420810842
163	0.2419595518
164	0.2417192771
165	0.2415472857
166	0.2412468711
167	0.2409234649
168	0.240690746
169	0.2404735924
170	0.2399728726
171	0.2398326715
172	0.2396302538
173	0.23939592
174	0.2391397255
175	0.2389851741
176	0.2386864729
177	0.2382623675
178	0.2380918638
179	0.2379696275
180	0.2376883018
181	0.2374399336
182	0.2371593743
183	0.2369493057
184	0.2364533314
185	0.2361847874
186	0.2360943995
187	0.2357810825
188	0.2356396356
189	0.2352151359
190	0.2348520864
191	0.2347309957
192	0.2345130285
193	0.2342637967
194	0.2339895846
195	0.233590083
196	0.2333772618
197	0.2329247033
198	0.23254798
199	0.2322784257
200	0.2321358665
201	0.2318088286
202	0.2316841208
203	0.2313136553
204	0.2309750267
205	0.2306642864
206	0.230439533
207	0.2300225027
208	0.229745282
209	0.2296027567
210	0.2292303537
211	0.2288864723
212	0.2287013284
213	0.2284312111
214	0.228191492
215	0.2278251495
216	0.2275029903
217	0.2273763439
218	0.2272756381
219	0.2270911682
220	0.2267983246
221	0.2265810274
222	0.2264356514
223	0.2262254869
224	0.2259228608
225	0.2257322479
226	0.2253151232
227	0.2252160582
228	0.2247975831
229	0.2244707995
230	0.2241910509
231	0.2240010266
232	0.2236565523
233	0.2234976095
234	0.2233171473
235	0.2230250053
236	0.222821735
237	0.2226439317
238	0.2224311175
239	0.222224975
240	0.2219053576
241	0.2217906691
242	0.2216547842
243	0.2215051275
244	0.2212966747
245	0.2209025205
246	0.220544544
247	0.2202298735
248	0.2201035204
249	0.2198851759
250	0.2196379555
251	0.2194979534
252	0.2191231829
253	0.2190140661
254	0.21889981
255	0.2186245189
256	0.2184076473
257	0.2178617928
258	0.2175463968
259	0.217192334
260	0.2168828946
261	0.2167650697
262	0.2165852318
263	0.216489015
264	0.2162259497
265	0.2159618874
266	0.2157236457
267	0.2155944598
268	0.215450496
269	0.2151211834
270	0.2148601564
271	0.2147784157
272	0.2145732011
273	0.2143198333
274	0.214096535
275	0.2136681812
276	0.2135487681
277	0.2132397597
278	0.2130273273
279	0.2129065048
280	0.2127556734
281	0.212544312
282	0.2124582344
283	0.2123136082
284	0.2120374387
285	0.2117688507
286	0.2114401988
287	0.2111425894
288	0.2109387525
289	0.2106401804
290	0.2105343186
291	0.2103817655
292	0.2102778201
293	0.2100697403
294	0.2099537274
295	0.2096955535
296	0.209329836
297	0.208909123
298	0.2087974242
299	0.2086721017
300	0.2082938772
301	0.2080438259
302	0.2077481833
303	0.207393387
304	0.2073173096
305	0.2071085859
306	0.206795135
307	0.2065974656
308	0.2063267234
309	0.2060378579
310	0.2060135174
311	0.205719968
312	0.2054332696
313	0.2051459516
314	0.2049186317
315	0.2047164324
316	0.204595529
317	0.204375339
318	0.20397356
319	0.2037276977
320	0.2035109065
321	0.2032581112
322	0.2031632615
323	0.2029145089
324	0.2027475424
325	0.2026290375
326	0.2024360402
327	0.2021740987
328	0.2017520846
329	0.2014725411
330	0.20134858
331	0.2011033962
332	0.2008787908
333	0.2006453652
334	0.2003702851
335	0.2001803173
336	0.2000198821
337	0.1999650767
338	0.1998461523
339	0.1997092406
340	0.199467729
341	0.1992233932
342	0.1990843623
343	0.1988370054
344	0.1987102481
345	0.1985365745
346	0.1982264241
347	0.1981704805
348	0.1979445259
349	0.1979002654
350	0.1976991906
351	0.1974409095
352	0.1973116034
353	0.1971544442
354	0.1968978346
355	0.1966214998
356	0.1963766034
357	0.1961736277
358	0.1960237769
359	0.1959990441
360	0.1958108182
361	0.1954177997
362	0.1951977282
363	0.1950039883
364	0.1948773373
365	0.1947917789
366	0.1946306118
367	0.1945433659
368	0.1942929793
369	0.1940118234
370	0.1939017881
371	0.1938529396
372	0.1937467345
373	0.1933073225
374	0.1931164173
375	0.1929397438
376	0.1928012513
377	0.1926740977
378	0.1925837908
379	0.1923721527
380	0.1921815572
381	0.1920819541
382	0.1920144577
383	0.191872085
384	0.191651031
385	0.1914630938
386	0.1912313504
387	0.1909815461
388	0.1908458433
389	0.1906919479
390	0.1905301064
391	0.1903629467
392	0.1902047082
393	0.1899991061
394	0.1896930332
395	0.1895088036
396	0.1893703247
397	0.1891865623
398	0.1890465926
399	0.1888329044
400	0.1887800949
401	0.1887305654
402	0.1885799322
403	0.1882781826
404	0.1881360244
405	0.1880477281
406	0.1878987599
407	0.1877440588
408	0.187450519
409	0.1874181734
410	0.1872052649
411	0.1869294201
412	0.1866815107
413	0.186506816
414	0.1862490002
415	0.1860338261
416	0.1859064826
417	0.1857014393
418	0.1855314288
419	0.1852678091
420	0.1851135139
421	0.1849437278
422	0.1848185182
423	0.184660269
424	0.1844435101
425	0.1843037286
426	0.1841379717
427	0.1837468018
428	0.1835711141
429	0.1834809813
430	0.183381816
431	0.1832253791
432	0.1830672236
433	0.1829917021
434	0.1828326848
435	0.18266753
436	0.1822022078
437	0.1820615677
438	0.1818597604
439	0.1817273537
440	0.1816502251
441	0.181521061
442	0.1811443656
443	0.1809706035
444	0.1805678197
445	0.1804791666
446	0.1803385078
447	0.180065479
448	0.1799910336
449	0.1797164261
450	0.1794977098
451	0.1792475033
452	0.1790342985
453	0.1787083023
454	0.1785301819
455	0.1782872637
456	0.1780314257
457	0.1777915226
458	0.1777583199
459	0.1776853635
460	0.177560276
461	0.1774188601
462	0.1772426595
463	0.1769436178
464	0.1766903878
465	0.176631838
466	0.1765912109
467	0.1765443151
468	0.1762294223
469	0.1760777033
470	0.1760203136
471	0.1758625381
472	0.1757416573
473	0.1756022435
474	0.1752958698
475	0.1751878508
476	0.1750286137
477	0.1748752801
478	0.17483439
479	0.1745698383
480	0.1744475555
481	0.1743053872
482	0.1742222645
483	0.1741578472
484	0.1740689886
485	0.1739323859
486	0.1737630828
487	0.1736125349
488	0.1735598353
489	0.1734884469
490	0.1733759525
491	0.1732368583
492	0.1731714058
493	0.1730141386
494	0.1727440403
495	0.1726521591
496	0.1723967272
497	0.1722731079
498	0.1720505166
499	0.1718585554
500	0.1716771847
501	0.1716357316
502	0.1715372313
503	0.1713274508
504	0.1711564869
505	0.1708988625
506	0.1706354813
507	0.1705898781
508	0.1704771329
509	0.1702761821
510	0.1700496329
511	0.1699318703
512	0.1698386234
513	0.1696710262
514	0.1695338664
515	0.1693938386
516	0.1692690659
517	0.1691888549
518	0.1688935042
519	0.1687696661
520	0.1685295093
521	0.1683377125
522	0.1682659294
523	0.168058534
524	0.1677919831
525	0.1676352486
526	0.1674036699
527	0.1672195957
528	0.1670603404
529	0.1669316574
530	0.1668615361
531	0.1667271169
532	0.1665537588
533	0.1664457641
534	0.1662555015
535	0.1661464853
536	0.1660535696
537	0.1658284424
538	0.1654866987
539	0.1652629858
540	0.1649770272
541	0.1648868556
542	0.1648076392
543	0.1646629323
544	0.1645857258
545	0.1644865295
546	0.1643468641
547	0.1642115508
548	0.1639505826
549	0.1637815109
550	0.163611561
551	0.1634097927
552	0.1632260911
553	0.1630175346
554	0.1627830172
555	0.1626335074
556	0.1624652997
557	0.1623801799
558	0.1622275652
559	0.1621421884
560	0.1619531216
561	0.1618401164
562	0.16170481
563	0.1616074914
564	0.1615041382
565	0.1613417342
566	0.1612956874
567	0.1611950738
568	0.1610122157
569	0.160960246
570	0.1607664704
571	0.1606151629
572	0.1605043258
573	0.1603870924
574	0.1602933879
575	0.1602235565
576	0.1600161722
577	0.1599165124
578	0.1597276412
579	0.1595877182
580	0.1594612668
581	0.1593928882
582	0.1592355091
583	0.1590716743
584	0.1589682514
585	0.1588052127
586	0.158694855
587	0.1585050721
588	0.1582000205
589	0.1581134855
590	0.1580140986
591	0.1579504138
592	0.1576985988
593	0.157602367
594	0.157478354
595	0.157362871
596	0.1572798629
597	0.1570523279
598	0.1569833396
599	0.1569186963
600	0.1568330503
601	0.1567091015
602	0.1565556494
603	0.1564010495
604	0.156214525
605	0.1560060135
606	0.1559161643
607	0.1557730458
608	0.1555708123
609	0.1554300975
610	0.1552296829
611	0.1551548861
612	0.1550526866
613	0.1548363573
614	0.1546226635
615	0.1543377447
616	0.154071198
617	0.1539438409
618	0.1538614422
619	0.1537489811
620	0.1536423951
621	0.1535960438
622	0.1534247153
623	0.1533282575
624	0.153275081
625	0.1530270969
626	0.1528983622
627	0.1528574273
628	0.1527230475
629	0.1525967779
630	0.1524479578
631	0.1523312392
632	0.1522426981
633	0.1521176699
634	0.151876391
635	0.1517445283
636	0.151558394
637	0.1514828796
638	0.1513433367
639	0.1512624255
640	0.1511349457
641	0.1509028292
642	0.1508118976
643	0.1507383614
644	0.15064394
645	0.1505766129
646	0.1503373005
647	0.1502043969
648	0.1500470436
649	0.1498416848
650	0.1497184897
651	0.1495991064
652	0.1493794314
653	0.149299831
654	0.149212711
655	0.149088113
656	0.148986618
657	0.1489547966
658	0.1488724084
659	0.1486037472
660	0.148558
661	0.1483462141
662	0.1481265985
663	0.1479916608
664	0.1478107798
665	0.1475954306
666	0.1474394015
667	0.1472103051
668	0.1471411219
669	0.1470369168
670	0.1468701829
671	0.1466333434
672	0.1465132412
673	0.1464195521
674	0.1461960649
675	0.1460756704
676	0.1460039932
677	0.1457920393
678	0.1456746356
679	0.1455788855
680	0.1454954422
681	0.1453300262
682	0.1451904443
683	0.1451125824
684	0.144898731
685	0.1447745988
686	0.1445724823
687	0.1444976255
688	0.1442496263
689	0.1440894338
690	0.1440075527
691	0.1439379041
692	0.1438639895
693	0.1437448348
694	0.1437000518
695	0.1435352929
696	0.1434305574
697	0.143244183
698	0.1431595719
699	0.1430195968
700	0.1429383019
701	0.1428445277
702	0.142768751
703	0.1425709633
704	0.1424095788
705	0.1422978309
706	0.1421732842
707	0.1419645815
708	0.1417706801
709	0.1417297807
710	0.1415696886
711	0.1414993858
712	0.1414388258
713	0.1413620925
714	0.1412198879
715	0.1410842912
716	0.1410236403
717	0.140945386
718	0.1408495282
719	0.1407627086
720	0.1407104223
721	0.1405132311
722	0.1404782483
723	0.140305808
724	0.1401565316
725	0.1400115879
726	0.1399954795
727	0.1398117481
728	0.1396950706
729	0.139606154
730	0.13950464
731	0.1393452224
732	0.1391301157
733	0.1389752535
734	0.1388631189
735	0.138819453
736	0.1387229913
737	0.1386292846
738	0.1385891805
739	0.1384751115
740	0.1384065443
741	0.1382684558
742	0.138203218
743	0.1380224786
744	0.1379460351
745	0.1378860968
746	0.1377334897
747	0.1375813525
748	0.1373847776
749	0.1372647674
750	0.1372381818
751	0.1370962786
752	0.1369993059
753	0.1368340169
754	0.1367465154
755	0.1366539269
756	0.1365613646
757	0.1364193219
758	0.1363451065
759	0.1360416664
760	0.1359952193
761	0.1358535785
762	0.1356528914
763	0.1355474587
764	0.1354368802
765	0.135373563
766	0.1352768629
767	0.1350601954
768	0.134930861
769	0.1348277251
770	0.1347384868
771	0.1346705701
772	0.1346265489
773	0.1344889287
774	0.1344268254
775	0.134299037
776	0.134266386
777	0.1340514958
778	0.1338851792
779	0.1337665713
780	0.1335993952
781	0.1334002733
782	0.1332967007
783	0.1331923151
784	0.1330651399
785	0.1329364124
786	0.1327082242
787	0.1326709496
788	0.1325165994
789	0.132405877
790	0.1323368884
791	0.1322389193
792	0.1321316917
793	0.1319709386
794	0.1318771674
795	0.1316874276
796	0.1316258799
797	0.1315840878
798	0.1314902557
799	0.1312975885
800	0.131263238
801	0.1311590111
802	0.1310930603
803	0.1309647702
804	0.1307410476
805	0.1306216262
806	0.1305515942
807	0.13049518
808	0.1303652269
809	0.1302895876
810	0.1301810824
811	0.1301392556
812	0.1299957584
813	0.1297651921
814	0.1296352367
815	0.1295007115
816	0.1294131963
817	0.1293454076
818	0.1292934063
819	0.1292380479
820	0.1291795205
821	0.1290554907
822	0.1288974904
823	0.1288448944
824	0.1287546171
825	0.1286736519
826	0.1285615934
827	0.1283991095
828	0.1282788821
829	0.1282230081
830	0.1281403908
831	0.1280669056
832	0.1279706551
833	0.1278697869
834	0.127731905
835	0.1276219771
836	0.1275676636
837	0.1274582591
838	0.1272422602
839	0.1271675358
840	0.1271029215
841	0.1269904985
842	0.1268818814
843	0.1266726787
844	0.1265994163
845	0.1265011002
846	0.1264422148
847	0.1263907827
848	0.1263153846
849	0.1262253043
850	0.1261508101
851	0.1260331247
852	0.1260195207
853	0.1259024797
854	0.1257285853
855	0.125606095
856	0.1255570888
857	0.1254628487
858	0.1253766756
859	0.1252450299
860	0.1251119531
861	0.1250314449
862	0.1249609511
863	0.1249115063
864	0.1247462954
865	0.1246774857
866	0.1246338205
867	0.1245605268
868	0.1244504865
869	0.1243803081
870	0.1243230553
871	0.1241888352
872	0.1240827803
873	0.1239544828
874	0.1238331429
875	0.123789183
876	0.1237287076
877	0.1236297176
878	0.123470573
879	0.1234043061
880	0.1233004976
881	0.1232388406
882	0.1230951323
883	0.1230208924
884	0.1229081728
885	0.1228492034
886	0.122702937
887	0.122631989
888	0.1225469819
889	0.1224693198
890	0.1223694448
891	0.1222668288
892	0.1221517576
893	0.1220638631
894	0.1218823526
895	0.1217565192
896	0.1216616532
897	0.1215675287
898	0.1214541895
899	0.121331126
900	0.1212432716
901	0.1211008476
902	0.1210265702
903	0.1208917844
904	0.1207923097
905	0.1207568046
906	0.1206186709
907	0.1204991965
908	0.1203659486
909	0.1202115605
910	0.1201676046
911	0.1201125796
912	0.1199792432
913	0.1199029998
914	0.1198363927
915	0.1197513837
916	0.1196403381
917	0.1194109853
918	0.1192717076
919	0.1191960532
920	0.119119925
921	0.1190587914
922	0.1189586288
923	0.1189197477
924	0.1187798664
925	0.1187150904
926	0.1186205207
927	0.1184625844
928	0.1183805183
929	0.1182969983
930	0.1182038916
931	0.1180962439
932	0.1180188135
933	0.1179612677
934	0.1179086663
935	0.1177907719
936	0.1176871495
937	0.1176262567
938	0.1174691252
939	0.1173462858
940	0.1172795038
941	0.1172289076
942	0.1171415956
943	0.1170546596
944	0.1169761923
945	0.1168111175
946	0.116759808
947	0.1165970523
948	0.1164907206
949	0.11639873
950	0.1163154891
951	0.1162595716
952	0.1161636024
953	0.1160209242
954	0.1159321425
955	0.1158473022
956	0.1157040699
957	0.1155243371
958	0.1154282909
959	0.1153482037
960	0.1152008205
961	0.1151198252
962	0.1150295102
963	0.1149255615
964	0.1148114406
965	0.1146155842
966	0.1145257339
967	0.1144122786
968	0.1143395425
969	0.1142663992
970	0.114175192
971	0.1141303741
972	0.1140845108
973	0.1140444603
974	0.1139073942
975	0.1138562222
976	0.1137995982
977	0.1136640133
978	0.1135560709
979	0.1134931939
980	0.113362782
981	0.1133285934
982	0.1132071813
983	0.1131585993
984	0.1130863943
985	0.1130069107
986	0.1128988698
987	0.1128299267
988	0.112732643
989	0.1126857981
990	0.1126035836
991	0.1124126042
992	0.1122855712
993	0.1121919379
994	0.1121321816
995	0.112075679
996	0.1119854565
997	0.1119319258
998	0.1118298662
999	0.1116624775
